max_depth       ,max_samples     ,n_estimators    ,mean_test ,std_test  ,mean_time ,std_time  
27              ,0.6             ,2               ,    92.643,     0.107,    21.757,     1.034
27              ,0.8             ,2               ,    92.825,     0.024,    27.677,     1.595
27              ,0.9             ,2               ,    92.918,     0.098,    29.347,     2.284
20              ,0.6             ,2               ,    93.758,     0.076,    21.022,     0.919
20              ,0.8             ,2               ,    93.976,     0.095,    25.462,     0.869
20              ,0.9             ,2               ,    94.015,     0.050,    28.862,     2.233
15              ,0.9             ,2               ,    94.067,     0.135,    27.748,     0.815
15              ,0.6             ,2               ,    94.068,     0.036,    17.009,     0.179
15              ,0.8             ,2               ,    94.142,     0.040,    26.068,     0.904
15              ,0.8             ,4               ,    94.521,     0.025,    29.552,     1.008
15              ,0.6             ,4               ,    94.535,     0.023,    21.353,     3.019
15              ,0.9             ,4               ,    94.555,     0.030,    30.338,     2.784
15              ,0.6             ,8               ,    94.676,     0.027,    46.888,     1.147
15              ,0.8             ,8               ,    94.683,     0.046,    57.878,     1.811
15              ,0.9             ,8               ,    94.717,     0.046,    62.278,     2.398
15              ,0.9             ,16              ,    94.762,     0.022,   115.058,     3.096
15              ,0.6             ,16              ,    94.776,     0.033,    84.547,     2.639
15              ,0.8             ,16              ,    94.786,     0.022,   105.056,     2.721
20              ,0.6             ,4               ,    95.063,     0.013,    24.861,     0.706
20              ,0.8             ,4               ,    95.162,     0.020,    29.255,     1.180
27              ,0.6             ,4               ,    95.164,     0.022,    24.244,     0.791
20              ,0.9             ,4               ,    95.177,     0.018,    33.292,     1.051
27              ,0.8             ,4               ,    95.293,     0.018,    32.017,     0.842
27              ,0.9             ,4               ,    95.364,     0.038,    33.952,     1.576
20              ,0.6             ,8               ,    95.402,     0.028,    47.750,     2.282
20              ,0.8             ,8               ,    95.453,     0.022,    63.293,     1.517
20              ,0.9             ,8               ,    95.475,     0.022,    66.069,     0.669
20              ,0.6             ,16              ,    95.524,     0.023,    88.514,     1.857
20              ,0.8             ,16              ,    95.572,     0.027,   108.852,     3.814
20              ,0.9             ,16              ,    95.604,     0.024,   126.188,     4.900
27              ,0.6             ,8               ,    95.767,     0.016,    50.634,     1.783
27              ,0.8             ,8               ,    95.892,     0.031,    63.077,     2.125
27              ,0.9             ,8               ,    95.944,     0.019,    68.445,     1.141
27              ,0.6             ,16              ,    95.978,     0.014,    89.364,     1.832
27              ,0.8             ,16              ,    96.100,     0.021,   113.879,     2.932
27              ,0.9             ,16              ,    96.144,     0.017,   109.126,    10.376
